?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001030>	<http://www.w3.org/2000/01/rdf-schema#label>	"author list"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001054>	<http://www.w3.org/2000/01/rdf-schema#label>	"metadata specification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010029>	<http://www.w3.org/2000/01/rdf-schema#label>	"data producing process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"industry organization role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001022>	<http://www.w3.org/2000/01/rdf-schema#label>	"ontology namespace"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114>	<http://www.w3.org/2000/01/rdf-schema#label>	"contact point role"@en	
<http://purl.obolibrary.org/obo/IAO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolescence reason specification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000215>	<http://www.w3.org/2000/01/rdf-schema#label>	"technological method specification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001017>	<http://www.w3.org/2000/01/rdf-schema#label>	"export format specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"data about an ontology part"@en	
<http://purl.obolibrary.org/obo/IAO_8000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"main release ontology module"@en	
<http://purl.obolibrary.org/obo/IAO_0000579>	<http://www.w3.org/2000/01/rdf-schema#label>	"centrally registered identifier registry"@en	
<http://purl.obolibrary.org/obo/BFO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"entity"@en	
<http://purl.obolibrary.org/obo/BFO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"three-dimensional spatial region"@en	
<http://purl.obolibrary.org/obo/BFO_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"spatial region"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010008>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemistry"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"creative work"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010010>	<http://www.w3.org/2000/01/rdf-schema#label>	"physic"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001036>	<http://www.w3.org/2000/01/rdf-schema#label>	"comment textual entity"@en	
